Text,CreatedAt
"Jasprit Bumrah's 30th wicket of the series ends Australia's innings 🙌

A target of 340 on day five for India 🎯

#AUSvIND live 👉 https://t.co/bOYB0lB4x1

#WTC25 https://t.co/wyfkKn2cpU",2024-12-29 23:24:34+00:00
"A thrilling final chapter to come in Melbourne 📚

#AUSvIND live 👇

https://t.co/rAoJWwveZO 

#WTC25",2024-12-29 23:12:16+00:00
"Moments to cherish with #WTC25 Final tickets secured 🎟

📸 @ProteasMenCSA https://t.co/DBIckEYJHl",2024-12-29 22:51:19+00:00
"Temba Bavuma heaps praise on the Proteas' mentality following their qualification for the #WTC25 Final 👌

#SAvPAK

https://t.co/Hg7arTIQ2e",2024-12-29 18:30:14+00:00
"Kagiso Rabada and Marco Jansen stood tall in another thrilling chase for the Proteas 🤜🤛

#WTC25 | #SAvPAK ✍️: https://t.co/9waV4hcLzx https://t.co/guOGsHsPkp",2024-12-29 18:00:09+00:00
"A positive Nitish Reddy reflects on what he expects out of Day 5's action at the MCG with all four results possible 👀

#WTC25 | #AUSvIND

https://t.co/ZAqJ1VtptT",2024-12-29 17:30:15+00:00
"Tailenders set the stage for a dramatic finale to the #AUSvIND Boxing Day Test 🙌

#WTC25

https://t.co/3kRyCFRJBX",2024-12-29 16:00:08+00:00
"South Africa secure their spot in the #WTC25 Final but the battle for the second spot remains open 🔥

More ➡️ https://t.co/gSpBbm9L3I https://t.co/7POEhNMzsQ",2024-12-29 15:30:09+00:00
"Afghanistan batters produce more runs to stay on top in rain-hit Day 4 ⛈️

📸: Zimbabwe Cricket

#ZIMvAFG 📝: https://t.co/Sesd8MJBTU https://t.co/SPot8iyXb2",2024-12-29 14:46:45+00:00
"From thrilling chases to formidable bowling - Looking back at the showdowns that landed the Proteas their #WTC25 Final spot 💥

https://t.co/IcTqmqZHYJ",2024-12-29 14:30:08+00:00
RT @JayShah: Well done to @ProteasMenCSA on qualifying for their first @ICC #WTCFinal after a thrilling Test match victory at Centurion. ht…,2024-12-29 14:20:15+00:00
