AuthorID,Text,CreatedAt
1.80846E+18,"RT @UpendrraRai: #TeamIndia was hosted at the #KirribilliHouse by #AustralianPM #AnthonyAlbanese on 1st January.
@MEAIndia @BCCI https://t.…",2025-01-02 16:36:17+00:00
1.56772E+18,"RT @BluntIndianGal: A home test series loss and a BGT loss made BCCI drop their captain who won a trophy few months back.
This is how impor…",2025-01-02 16:36:17+00:00
1.29321E+18,"RT @SUPREME_KOHLI: After the 2021 Virat Kohli's Captaincy saga:-

- Saurav Ganguly left the position as BCCI president.
- Chetan Sharma sac…",2025-01-02 16:36:15+00:00
1.30026E+18,"RT @Ashwin_tweetz: No other Indian Captain had the power and authority like him, ruled BCCI till he was the SUPERIOR. Truly the KING of Ind…",2025-01-02 16:36:14+00:00
1.25697E+18,"Of being a part of coaching? NO.
Of being a part of BCCI? HELL NO. https://t.co/eDYNbt89LS",2025-01-02 16:36:06+00:00
1.53503E+18,RT @wokeflix_: You don’t stand and walk around a Prime Minster with hands in your pockets. Virat needs to learn this. It’s not BCCI office.…,2025-01-02 16:36:06+00:00
2933675539,RT @wokeflix_: You don’t stand and walk around a Prime Minster with hands in your pockets. Virat needs to learn this. It’s not BCCI office.…,2025-01-02 16:35:54+00:00
1.56182E+18,"RT @141_at_adelaide: Defended bumrah after ct final when anil kumble blamed him for no ball

Defended Rohit Sharma after a golden duck vs P…",2025-01-02 16:35:50+00:00
1.546E+18,"RT @171off90: There's a wise saying:

""Never upset any MS Dhoni fan, it will ALWAYS come to bite you in the ass.""

BCCI fans who were stink…",2025-01-02 16:35:50+00:00
2576393196,"5th and Final Test match of the #BorderGavaskarTrophy will be played at Sydney. 

Captain Rohit Sharma is likely to be out of the playing XI as he is out of form. Jasprit Bumrah may be leading the #TeamIndia https://t.co/MGhi9EPfi0",2025-01-02 16:35:45+00:00
1.72847E+18,@Kohlistic18 Bcci ne khabar leak ke chakkar main kata hai sharmaji ja,2025-01-02 16:35:41+00:00
1.57475E+18,"RT @loyal_CSKfan: - Removed Core players like Pujara and Rahane in tests
- Appointed foreign player as Bowling Coach
- Lost a bilateral ser…",2025-01-02 16:35:37+00:00
